what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1297225357113
os,sysinfo,,,"macosx",1297225357117
arch,sysinfo,,,"x86_64",1297225357117
ws,sysinfo,,,"cocoa",1297225357117
locale,sysinfo,,,"en_US",1297225357117
processors,sysinfo,,,"2",1297225357117
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297225357117
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1297225357117
java.specification.name,sysinfo,,,"Java Platform API Specification",1297225357117
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297225357117
java.specification.version,sysinfo,,,"1.6",1297225357117
java.vendor,sysinfo,,,"Apple Inc.",1297225357117
java.version,sysinfo,,,"1.6.0_22",1297225357117
java.vm.info,sysinfo,,,"mixed mode",1297225357117
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1297225357117
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297225357117
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297225357117
java.vm.specification.version,sysinfo,,,"1.0",1297225357117
java.vm.vendor,sysinfo,,,"Apple Inc.",1297225357117
java.vm.version,sysinfo,,,"17.1-b03-307",1297225357117
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1297225357216
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1297225357253
started,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1297225358012
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1297225358109
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1297225359765
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1297225361649
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1297225363036
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1297225363345
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225364461
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225365798
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1297225367159
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1297225371537
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1297225372880
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297225375322
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297225375434
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1297225375551
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1297225394104
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1297225395088
started,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1297225407724
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1297225409518
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1297225485224
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297225485877
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1297225489602
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225491008
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225501032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225539072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225540737
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1297225542191
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1297225545048
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1297225545239
